Route_name,Route_link
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
Haldia to Kolkata,https://www.redbus.in/bus-tickets/haldia-to-kolkata
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata
Kolkata to Midnapore,https://www.redbus.in/bus-tickets/kolkata-to-midnapore
Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Kolkata to Bankura,https://www.redbus.in/bus-tickets/kolkata-to-bankura
Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata
Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol
Kolkata to Nimtouri,https://www.redbus.in/bus-tickets/kolkata-to-nimtouri
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
